yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender,Cluster,PCA1,PCA2
0,1,0,1,0,1,1,0,1,0,0,6,61,0,0,1,-0.765222494537971,-1.0479280662013497
1,1,0,1,1,1,1,1,1,0,0,1,51,0,0,2,0.890428112500877,1.0254315006277017
0,1,1,1,1,1,0,1,1,1,0,0,62,0,0,2,0.18466523765276177,0.9676206420013335
1,1,0,1,1,1,1,1,0,0,1,3,69,4,0,2,0.20516060522416948,-1.0024583900153858
0,1,0,1,1,1,1,0,0,1,0,1,49,3,1,2,0.1301924108900507,-1.192685036873235
1,1,0,1,0,1,1,1,0,0,0,1,55,0,1,1,1.7291580673838114,-0.2061659003399984
1,1,1,1,0,1,0,1,1,1,0,1,56,0,0,1,1.433344833623943,1.4248736835664393
1,1,0,1,1,1,1,1,0,0,0,10,23,4,0,2,0.8478684888315138,0.035932314540599544
0,0,0,1,1,0,0,0,1,0,1,9,58,5,1,3,-4.910984122506502,0.4798865973773525
1,1,0,1,1,1,0,1,1,0,0,0,32,0,0,2,0.525536568739403,2.5939267398237864
0,1,0,1,0,1,1,0,0,0,1,5,53,0,0,3,-1.0489289093657985,-2.128580396834854
1,1,0,1,1,1,0,1,1,0,1,2,28,3,1,2,-0.7651716091413467,2.560702941751662
0,1,0,1,0,1,1,0,0,0,0,8,65,0,1,1,-0.5556936559224597,-2.077248214488094
1,1,0,1,0,1,0,1,1,1,0,10,54,3,1,1,0.518652450024632,1.2942571608037652
0,1,0,1,0,1,0,0,1,0,0,6,67,3,1,3,-1.5346894987802608,0.02342004930749485
1,1,0,1,0,1,1,1,0,0,0,2,51,3,1,1,1.6370433439902035,-0.24983724693989265
1,1,0,1,1,1,1,1,0,0,0,8,34,3,0,2,0.958220353051113,-0.10997736246270545
1,1,0,0,1,1,0,1,0,0,0,1,31,3,1,0,1.2161904394792218,1.2604490333259821
0,0,0,1,1,1,1,0,1,0,1,7,47,0,0,3,-3.275486594692074,-0.8642868045265547
1,1,0,1,1,1,0,1,1,0,1,10,37,1,1,2,-1.3927735028824835,1.9754558257799237
1,1,0,1,1,1,0,1,1,0,1,1,41,5,0,2,-0.6044324548683562,1.9287036424442268
1,1,0,1,0,1,1,1,1,0,0,1,36,3,1,1,1.233339547248593,1.2977036742235273
1,1,1,1,1,1,1,1,1,0,1,5,23,4,0,2,-0.24226076927131165,1.089170317931016
1,1,1,1,0,1,0,1,1,0,0,10,50,1,0,1,0.17764109468480505,1.1805520021304774
1,1,0,1,0,1,1,1,0,1,0,1,39,0,0,1,2.5678939992102574,-0.1884808502621289
1,1,0,1,1,1,1,0,1,0,0,8,35,0,0,2,-0.4499675734241273,0.4823660419999286
1,1,0,1,1,1,1,1,0,0,1,8,20,0,1,2,-0.06085103445602828,0.40488704552920074
0,1,0,1,1,1,0,1,0,1,0,8,34,3,0,2,0.1963144749571719,0.15446738542955524
0,1,0,0,0,1,0,0,0,0,0,8,55,0,1,0,-0.6237633665177527,-1.181756018808413
1,1,0,1,0,1,1,1,0,1,0,2,24,0,0,1,2.5647806898569314,0.14329137627933414
1,1,0,1,1,1,1,1,0,0,0,2,44,3,1,2,1.1937394971347959,0.23598355132352253
0,1,0,0,0,1,1,1,0,1,0,2,40,3,0,0,2.049776739920873,-1.4130805402796076
1,1,0,1,1,1,1,1,0,0,0,0,55,3,1,2,1.292229422960418,0.05878158404174022
0,1,0,1,1,1,1,0,0,0,1,7,37,2,1,3,-1.7957962805424004,-1.2904997196375934
1,1,0,1,0,1,1,1,0,1,0,3,48,4,1,1,2.1531992545147163,-0.35955106474948
0,1,0,1,1,1,1,0,0,0,1,5,54,0,0,3,-1.5310804644818252,-1.847535382066657
1,1,0,1,0,1,1,1,0,1,0,2,38,0,0,1,2.496797200400848,-0.21506624483729808
0,1,0,1,1,1,1,0,0,0,1,9,49,0,0,3,-1.8106116961868854,-1.9282799874304317
0,0,0,1,1,1,1,0,0,0,1,7,35,2,0,3,-2.688442897016841,-1.7311116694384958
0,0,0,1,1,1,0,0,1,0,1,7,55,5,1,3,-4.078389402787472,0.09328278455153062
1,0,0,1,0,0,0,1,1,0,0,1,31,5,1,1,-1.0393297677182884,2.75786435330274
1,1,0,1,0,1,1,1,0,1,0,2,57,1,1,1,2.2210341602454373,-0.4438645828340973
1,1,1,1,0,1,1,1,0,1,0,3,69,1,1,1,2.120415675274712,-0.8960818973137713
1,1,0,1,0,1,0,1,0,0,0,2,37,0,0,1,1.37914283004825,0.9435311928122184
0,1,0,1,1,1,1,0,0,0,1,9,60,2,1,3,-2.0593889664756544,-1.9835948322104895
1,1,1,1,1,1,1,1,1,1,1,1,36,3,1,2,0.42804961858738694,1.1822377893311258
0,1,0,0,0,1,0,1,0,1,0,0,54,0,1,0,1.4645391824657987,-0.2543897315709744
1,1,0,1,0,1,0,1,1,0,0,3,66,3,1,1,0.40264750336486627,1.4554001369751834
1,1,0,1,0,1,1,1,0,0,0,8,32,3,0,1,1.4452278716997171,-0.36542540429399983
1,1,0,1,1,1,1,1,0,0,0,1,67,5,1,2,1.134281221439549,-0.3631490392701136
0,1,1,1,1,1,0,0,1,0,1,7,42,4,0,3,-2.7241599658832767,0.2785974707940259
1,1,0,1,1,1,1,0,0,0,0,1,26,3,0,2,0.6423156316533042,-0.1272654594166959
1,1,0,1,1,1,0,1,1,0,0,0,58,5,0,2,0.3399718249225065,1.7719439920719395
0,1,0,1,0,1,0,0,1,0,1,9,48,3,1,3,-2.6212873761899425,0.12700891052944419
1,1,0,0,0,1,1,1,0,1,0,3,54,3,0,0,2.724041473657057,-1.1611249697474488
0,1,0,1,0,1,1,1,0,0,0,8,62,5,1,1,0.28598630875772346,-1.5695782940360645
0,1,0,1,1,1,1,0,0,0,1,7,52,5,0,3,-1.7325837540705282,-2.057167622609382
0,1,0,1,1,1,1,0,0,0,0,8,53,0,1,3,-0.9747176851149801,-1.4634425515401674
1,1,0,1,0,1,1,1,0,0,0,3,47,1,1,1,1.60423831256648,-0.1370471421474003
1,1,0,1,1,1,1,1,0,0,0,10,26,3,0,2,0.8451625366277585,-0.009566313991630087
1,1,0,1,1,1,0,1,0,0,0,10,29,4,0,2,0.28562509441361833,0.9123208628020546
1,1,0,1,1,1,1,1,0,1,0,2,24,4,1,2,1.8683995500551114,0.6136006409533459
1,1,0,1,0,1,1,1,0,1,0,10,25,4,0,1,1.904854874012553,-0.4249336978680495
0,1,0,1,1,1,0,0,1,0,0,8,54,3,1,3,-2.100763089124178,0.5584579501681809
1,1,0,1,1,1,1,1,0,0,0,3,23,3,0,2,1.391399763619398,0.4325011774035775
0,0,0,1,0,1,0,0,1,0,1,8,34,2,0,3,-3.3678477295374907,0.07703529376191846
0,1,0,0,0,0,0,0,1,0,0,0,47,0,1,0,-1.1959108760308217,1.1196421310418636
1,1,1,1,1,1,1,1,1,1,1,2,22,4,1,2,0.40821840730750675,1.4571207526572092
0,1,0,1,0,1,1,1,0,1,0,8,47,5,1,1,0.9482284824091288,-1.2886537788122752
1,1,0,1,0,1,1,1,0,0,0,3,56,3,1,1,1.5368107639853297,-0.4300044791364756
0,1,0,1,0,1,1,0,0,1,0,4,55,0,1,1,0.3860797494340059,-1.7155790939005304
1,1,0,0,0,1,1,1,0,1,0,2,56,0,0,0,2.8258681241158197,-1.06625967727375
0,1,0,1,0,0,0,1,1,0,0,8,56,0,0,1,-1.2056553531664778,1.1607623690362683
0,1,0,1,1,1,1,1,0,0,0,1,37,0,0,2,0.6927066284949644,-0.39011039701434225
